artist_name,total_tracks,Genre_Name
Led Zeppelin,114,Rock
U2,112,Rock
Metallica,112,Metal
Iron Maiden,95,Metal
Deep Purple,92,Rock
Iron Maiden,81,Rock
Pearl Jam,54,Rock
Van Halen,52,Rock
Os Paralamas Do Sucesso,49,Latin
Lost,48,TV Shows
Queen,45,Rock
Lost,44,Drama
The Rolling Stones,41,Rock
Creedence Clearwater Revival,40,Rock
Tit�s,38,Alternative & Punk
Miles Davis,37,Jazz
Faith No More,37,Alternative & Punk
The Office,36,TV Shows
Chico Science & Na��o Zumbi,36,Latin
Kiss,35,Rock
Chico Buarque,34,Latin
Smashing Pumpkins,34,Alternative & Punk
Green Day,34,Alternative & Punk
Foo Fighters,33,Rock
Eric Clapton,32,Blues
Legi�o Urbana,31,Latin
Cidade Negra,31,Reggae
Red Hot Chili Peppers,31,Rock
The Cult,30,Rock
C�ssia Eller,30,Latin
Tim Maia,30,Latin
Lenny Kravitz,30,Rock
Nirvana,29,Rock
Guns N' Roses,28,Rock
Various Artists,28,Latin
Lulu Santos,28,Latin
Iron Maiden,28,Heavy Metal
Santana,27,Rock
R.E.M.,27,Alternative & Punk
Milton Nascimento,26,Latin
Djavan,26,Latin
The Tea Party,26,Alternative & Punk
Battlestar Galactica (Classic),24,Sci Fi & Fantasy
Frank Sinatra,24,Easy Listening
U2,23,Pop
Skank,23,Rock
Gene Krupa,22,Jazz
Caetano Veloso,21,Latin
Spyro Gyra,21,Jazz
The Who,20,Rock
James Brown,20,R&B/Soul
Heroes,20,Drama
House Of Pain,19,Hip Hop/Rap
The Black Crowes,19,Blues
Zeca Pagodinho,19,Latin
Marvin Gaye,18,R&B/Soul
Black Label Society,18,Metal
Marisa Monte,18,Latin
Ozzy Osbourne,18,Rock
AC/DC,18,Rock
The Clash,18,Alternative & Punk
Ant�nio Carlos Jobim,17,Latin
M�tley Cr�e,17,Metal
Jimi Hendrix,17,Rock
O Rappa,17,Electronica/Dance
Red Hot Chili Peppers,17,Alternative & Punk
Soundgarden,17,Rock
Black Sabbath,17,Metal
Marcos Valle,17,Latin
Body Count,17,Alternative & Punk
The Office,17,Comedy
Eric Clapton,16,Latin
Planet Hemp,16,Hip Hop/Rap
Funk Como Le Gusta,16,Latin
Def Leppard,16,Rock
Judas Priest,16,Metal
Faith No More,15,Rock
Toquinho & Vin�cius,15,Bossa Nova
O Ter�o,15,Rock
Aerosmith,15,Rock
Vin�cius De Moraes,15,Latin
Gilberto Gil,15,Latin
Mot�rhead,15,Metal
Os Mutantes,14,Alternative & Punk
Jorge Ben,14,Latin
Raul Seixas,14,Rock
Rush,14,Rock
Ozzy Osbourne,14,Metal
Various Artists,14,Pop
The Police,14,Rock
Various Artists,14,Soundtrack
Chris Cornell,14,Alternative
Guns N' Roses,14,Metal
Audioslave,14,Rock
Jo�o Suplicy,14,World
Gonzaguinha,14,Latin
Audioslave,14,Alternative
Ant�nio Carlos Jobim,14,Jazz
UB40,14,Reggae
Elis Regina,14,Latin
Ed Motta,14,Latin
Olodum,14,Latin
Lenny Kravitz,14,Metal
Passengers,14,Soundtrack
Falamansa,14,Latin
Gilberto Gil,14,Soundtrack
R.E.M.,14,Rock
JET,13,Alternative & Punk
Pearl Jam,13,Alternative & Punk
Incognito,13,Jazz
Alanis Morissette,13,Rock
Velvet Revolver,13,Rock
Lenny Kravitz,13,Reggae
Battlestar Galactica,13,Science Fiction
BackBeat,12,Rock And Roll
Audioslave,12,Alternative & Punk
Stone Temple Pilots,12,Rock
Amy Winehouse,12,R&B/Soul
Godsmack,12,Metal
Page & Plant,12,Rock
M�nica Marianno,12,World
Alice In Chains,12,Rock
Scorpions,12,Rock
David Coverdale,12,Rock
Jota Quest,12,Latin
Amy Winehouse,11,Pop
Jamiroquai,11,R&B/Soul
Buddy Guy,11,Blues
Jamiroquai,11,Electronica/Dance
System Of A Down,11,Metal
Bruce Dickinson,11,Metal
Foo Fighters,11,Alternative & Punk
R.E.M. Feat. Kate Pearson,11,Alternative & Punk
The Doors,11,Rock
Jamiroquai,10,Rock
Stevie Ray Vaughan & Double Trouble,10,Blues
Men At Work,10,Rock
Temple of the Dog,10,Alternative
Paul D'Ianno,10,Rock
Cl�udio Zoli,10,Latin
Raimundos,10,Alternative & Punk
Marillion,10,Rock
